year,naics_4,dmarkup
2001,332613,-0.036411285
2002,332613,-0.012972593
2003,332613,0.06055522
2004,332613,-0.034202695
2005,332613,0.031320333
2006,332613,0.011805773
2007,332613,0.05797267
2008,332613,0.001095891
2009,332613,-0.0468539
2010,332613,0.017655253
2011,332613,-0.048133135
2012,332613,0.004119635
2013,332613,-2.20537E-05
2014,332613,0.068240643
2015,332613,0.014814496
2001,332912,-0.011917949
2002,332912,-0.072812915
2003,332912,0.061310172
2004,332912,0.021705389
2005,332912,0.014152169
2006,332912,0.007009506
2007,332912,0.013677955
2008,332912,0.004734159
2009,332912,-0.01708889
2010,332912,0.019412637
2011,332912,0.016896844
2012,332912,-0.003875256
2013,332912,-0.012869716
2014,332912,0.023080826
2015,332912,0.010361314
2001,332913,-0.043042183
2002,332913,0.028115034
2003,332913,-0.018606901
2004,332913,-0.000544786
2005,332913,-0.047629595
2006,332913,-0.018373251
2007,332913,-0.003057122
2008,332913,-0.042504787
2009,332913,0.031006932
2010,332913,-0.023773313
2011,332913,-0.002509832
2012,332913,0.007646561
2013,332913,0.03769207
2014,332913,0.00605011
2015,332913,0.057701707
2001,332919,-0.030806184
2002,332919,0.007448554
2003,332919,-0.016244888
2004,332919,0.0435853
2005,332919,-0.018273473
2006,332919,-0.003490329
2007,332919,-0.026509523
2008,332919,0.001497865
2009,332919,0.065863132
2010,332919,0.017516255
2011,332919,-0.005832315
2012,332919,-0.013668418
2013,332919,-0.002602816
2014,332919,-0.003316641
2015,332919,0.058553219
2001,332991,-0.023707628
2002,332991,-0.004269123
2003,332991,-0.027599692
2004,332991,0.018221498
2005,332991,0.003088951
2006,332991,0.010266662
2007,332991,0.011201143
2008,332991,-0.003879786
2009,332991,-0.036358953
2010,332991,0.099299669
2011,332991,0.005529165
2012,332991,-0.013157487
2013,332991,-0.018877625
2014,332991,0.020719528
2015,332991,-0.019723773
2001,332993,0.011142492
2002,332993,0.011135101
2003,332993,-0.016450763
2004,332993,-0.023180485
2005,332993,-0.005394101
2006,332993,0.000838876
2007,332993,0.013954043
2008,332993,0.017465234
2009,332993,0.006558657
2010,332993,-0.010718107
2011,332993,0.009748459
2012,332993,0.007133842
2013,332993,0.038825274
2014,332993,-0.03079772
2015,332993,-0.022625327
2001,333111,-0.019426107
2002,333111,-0.014966726
2003,333111,-0.004725933
2004,333111,0.018216491
2005,333111,-0.001648307
2006,333111,0.031646729
2007,333111,0.010335326
